"Pincode","Delhivery","Delhivery Limitation","Fedex","Fedex Limitation","Dotzot","Dotzot Limitation","DTDC","Indiapost","Pref 1","Pref 2","Pref 3","Pref 4","Pref 5"
"143022","Y","19999","N","N","N","N","N","Y","Delhivery","Fedex","DTDC","Dotzot","Indiapost"
"143104","Y","19999","N","N","N","N","N","Y","Delhivery","Fedex","DTDC","Dotzot","Indiapost"
"143105","Y","19999","N","N","Y","24999","Y","Y","Delhivery","Fedex","DTDC","Dotzot","Indiapost"
"143106","Y","19999","N","N","N","N","N","Y","Delhivery","Fedex","DTDC","Dotzot","Indiapost"
"147103","Y","19999","N","N","N","N","N","Y","Delhivery","Fedex","DTDC","Dotzot","Indiapost"
"147001","Y","19999","N","N","Y","24999","Y","Y","Delhivery","Fedex","DTDC","Dotzot","Indiapost"
"147002","Y","19999","N","N","Y","24999","Y","Y","Delhivery","Fedex","DTDC","Dotzot","Indiapost"
"147003","Y","19999","N","N","Y","24999","Y","Y","Delhivery","Fedex","DTDC","Dotzot","Indiapost"
"147004","Y","19999","N","N","Y","24999","Y","Y","Delhivery","Fedex","DTDC","Dotzot","Indiapost"
"147005","Y","19999","N","N","N","N","N","Y","Delhivery","Fedex","DTDC","Dotzot","Indiapost"
"110068","Y","19999","Y","4999999","Y","24999","Y","Y","Delhivery","DTDC","Fedex","Dotzot","Indiapost"
"144411","Y","19999","N","N","N","N","N","Y","Delhivery","Fedex","DTDC","Dotzot","Indiapost"
"625001","Y","19999","Y","4999999","Y","24999","Y","Y","Fedex","Delhivery","Dotzot","DTDC","Indiapost"
"625010","Y","19999","Y","4999999","Y","24999","Y","Y","Fedex","Delhivery","Dotzot","DTDC","Indiapost"
"577501","Y","19999","Y","4999999","Y","24999","Y","Y","Fedex","Delhivery","Dotzot","DTDC","Indiapost"
"482001","N","N","N","N","Y","24999","Y","Y","Fedex","Delhivery","Dotzot","DTDC","Indiapost"
"482003","N","N","N","N","Y","24999","Y","Y","Fedex","Delhivery","Dotzot","DTDC","Indiapost"
"482005","N","N","N","N","Y","24999","Y","Y","Fedex","Delhivery","Dotzot","DTDC","Indiapost"
"482007","N","N","N","N","N","N","N","Y","Fedex","Delhivery","Dotzot","DTDC","Indiapost"
"482008","N","N","N","N","Y","24999","Y","Y","Fedex","Delhivery","Dotzot","DTDC","Indiapost"
"482009","N","N","N","N","Y","24999","Y","Y","Fedex","Delhivery","Dotzot","DTDC","Indiapost"
"482010","N","N","N","N","Y","24999","Y","Y","Fedex","Delhivery","Dotzot","DTDC","Indiapost"
"456010","N","N","N","N","Y","24999","Y","Y","Fedex","Delhivery","Dotzot","DTDC","Indiapost"
"482006","N","N","N","N","N","N","N","Y","Fedex","Delhivery","Dotzot","DTDC","Indiapost"
"456004","N","N","N","N","N","N","N","Y","Fedex","Delhivery","Dotzot","DTDC","Indiapost"
"456005","N","N","N","N","N","N","N","Y","Fedex","Delhivery","Dotzot","DTDC","Indiapost"
"456007","N","N","N","N","N","N","N","Y","Fedex","Delhivery","Dotzot","DTDC","Indiapost"
"456008","N","N","N","N","N","N","N","Y","Fedex","Delhivery","Dotzot","DTDC","Indiapost"
"456009","N","N","N","N","N","N","N","Y","Fedex","Delhivery","Dotzot","DTDC","Indiapost"
"396236","Y","19999","N","4999999","N","N","N","Y","Fedex","Delhivery","Dotzot","DTDC","Indiapost"
"396194","Y","19999","N","N","N","N","N","Y","Fedex","Delhivery","Dotzot","DTDC","Indiapost"
"403808","Y","19999","N","N","Y","24999","N","Y","Fedex","Delhivery","Dotzot","DTDC","Indiapost"
"403402","Y","19999","Y","4999999","Y","24999","Y","Y","Fedex","Delhivery","Dotzot","DTDC","Indiapost"
"638108","Y","19999","Y","4999999","N","N","Y","Y","Fedex","Delhivery","Dotzot","DTDC","Indiapost"
"638301","Y","19999","Y","4999999","Y","24999","Y","Y","Fedex","Delhivery","Dotzot","DTDC","Indiapost"
"638102","Y","19999","Y","4999999","Y","24999","Y","Y","Fedex","Delhivery","Dotzot","DTDC","Indiapost"
"637211","Y","19999","Y","4999999","Y","24999","Y","Y","Fedex","Delhivery","Dotzot","DTDC","Indiapost"
"613003","Y","19999","Y","4999999","N","N","N","Y","Fedex","Delhivery","Dotzot","DTDC","Indiapost"
"613010","Y","19999","N","4999999","Y","24999","N","Y","Fedex","Delhivery","Dotzot","DTDC","Indiapost"
"639136","Y","19999","Y","4999999","Y","24999","Y","Y","Fedex","Delhivery","Dotzot","DTDC","Indiapost"
"585101","Y","19999","Y","4999999","Y","24999","Y","Y","Fedex","Delhivery","Dotzot","DTDC","Indiapost"
"585102","Y","19999","Y","4999999","Y","24999","Y","Y","Fedex","Delhivery","Dotzot","DTDC","Indiapost"
"585103","Y","19999","Y","4999999","Y","24999","Y","Y","Fedex","Delhivery","Dotzot","DTDC","Indiapost"
"585104","Y","19999","Y","4999999","Y","24999","Y","Y","Fedex","Delhivery","Dotzot","DTDC","Indiapost"
"585105","Y","19999","Y","4999999","Y","24999","Y","Y","Fedex","Delhivery","Dotzot","DTDC","Indiapost"
"132106","Y","19999","Y","4999999","Y","24999","Y","Y","Delhivery","Fedex","DTDC","Dotzot","Indiapost"
"132151","Y","19999","Y","4999999","N","N","N","Y","Delhivery","Fedex","DTDC","Dotzot","Indiapost"
"132110","Y","19999","Y","4999999","N","N","N","Y","Delhivery","Fedex","DTDC","Dotzot","Indiapost"
"131028","Y","19999","Y","4999999","Y","24999","Y","Y","Delhivery","Fedex","DTDC","Dotzot","Indiapost"
"131001","Y","19999","Y","4999999","Y","24999","Y","Y","Delhivery","Fedex","DTDC","Dotzot","Indiapost"
"131024","Y","19999","N","4999999","N","N","N","Y","Delhivery","Fedex","DTDC","Dotzot","Indiapost"
"576102","Y","19999","Y","4999999","Y","24999","Y","Y","Fedex","Delhivery","Dotzot","DTDC","Indiapost"
"576103","Y","19999","Y","4999999","Y","24999","Y","Y","Fedex","Delhivery","Dotzot","DTDC","Indiapost"
"576105","Y","19999","Y","4999999","Y","24999","Y","Y","Fedex","Delhivery","Dotzot","DTDC","Indiapost"
"576106","Y","19999","N","4999999","Y","24999","Y","Y","Fedex","Delhivery","Dotzot","DTDC","Indiapost"
"576107","Y","19999","Y","4999999","N","N","N","Y","Fedex","Delhivery","Dotzot","DTDC","Indiapost"
"576108","Y","19999","N","4999999","Y","24999","Y","Y","Fedex","Delhivery","Dotzot","DTDC","Indiapost"
"500019","Y","19999","Y","4999999","Y","24999","Y","Y","Fedex ","Delhivery","DTDC","Dotzot","Indiapost"
